web-scraper-order,web-scraper-start-url,orga-link,orga-link-href,title,logo,description,adresse,site,contact-name,contact-email
"1641922020-244","https://www.normandigital.fr/membres-normandie-reseau-professionnels-numerique/","AVANT DE CLIQUER                          EN SAVOIR PLUS","https://www.normandigital.fr/membres/avant-de-cliquer/","AVANT DE CLIQUER","background-image:url(https://www.normandigital.fr/wp-content/uploads/LOGO-Avant-de-Cliquer.jpg);","Le phishing constitue une menace grandissante
L’hameçonnage (phishing), point d’entrée de 90% des cyberattaques, est devenu un véritable fléau pour les organisations de toute taille.
Un e-mail d’hameçonnage qu’un utilisateur non sensibilisé aura cliqué peut avoir de lourdes conséquences :

infiltration dans les réseaux informatiques en vue de nuire ou de dérober le patrimoine immatériel de l’entreprise ;
exfiltration des données ;
fraude au président ;
chiffrage des fichiers (rançongiciel).

De plus la réglementation fait peser de nouvelles obligations sur les directeurs informatiques, DPO et dirigeants qui doivent mettre en place des mesures organisationnelles de protection des données personnelles (article 25 du RGPD).
La solution Avant de Cliquer
Comment cela fonctionne-t-il ?
nous sensibilisons les utilisateurs en e-learning ;
nous envoyons aux utilisateurs des e-mails qu’ils ne devraient pas cliquer du fait de leurs caractéristiques proches des e-mails de phishing. Afin d’accroître la vigilance des utilisateurs, la mise en situation est réalisée tout au long de l’année ;
les utilisateurs peu vigilants qui cliquent sont sensibilisés sur l’instant en 3 minutes ;
au fur et à mesure des mises en situation, les utilisateurs acquièrent les bons réflexes et permettent à l’organisation de devenir cyber-résiliente.
En fonction du niveau de connaissance initial de l’utilisateur et de l’historique de clic constaté lors des mises en situation, Avant de Cliquer crée en temps réel un programme de sensibilisation personnalisé pour chaque utilisateur, permettant une montée en compétence plus rapide.
Le directeur informatique dispose de résultats factuels qui lui permettent de communiquer avec sa hiérarchie, de piloter le cyber risque, de respecter ses obligations de mise en place de mesures organisationnelles de protection des données personnelles et d’apporter des éléments de défense en cas de mise en cause par un client, un fournisseur, un partenaire ou la CNIL.
Vous n’avez rien à perdre à tester Avant de Cliquer
Nous vous proposons d’évaluer gratuitement le niveau de maturité de vos utilisateurs face à une cyberattaque par hameçonnage.
L’état des lieux est très peu chronophage et se déroule sur 5 jours durant lesquels chaque utilisateur est susceptible de recevoir un à quatre e-mails qu’il ne devrait pas cliquer du fait de ses caractéristiques.
A l’issue un rapport vous est fourni, qui vous permet d’évaluer le niveau de risque service par service et d’évaluer s’il convient de mettre en place des actions correctrices.

		
	

	
		
			Avant de cliquer

9 rue Georges Braque

76000 Rouen

Tel : 06.31.37.41.50
site : www.avantdecliquer.com
Carl HERNANDEZ

Email : carl@avantdecliquer.com","En fonction du niveau de connaissance initial de l’utilisateur et de l’historique de clic constaté lors des mises en situation, Avant de Cliquer crée en temps réel un programme de sensibilisation personnalisé pour chaque utilisateur, permettant une montée en compétence plus rapide.","https://www.avantdecliquer.com/test-gratuit/","null","Le directeur informatique dispose de résultats factuels qui lui permettent de communiquer avec sa hiérarchie, de piloter le cyber risque, de respecter ses obligations de mise en place de mesures organisationnelles de protection des données personnelles et d’apporter des éléments de défense en cas de mise en cause par un client, un fournisseur, un partenaire ou la CNIL."
"1641921983-229","https://www.normandigital.fr/membres-normandie-reseau-professionnels-numerique/","IUT de Rouen                          EN SAVOIR PLUS","https://www.normandigital.fr/membres/iut-de-rouen/","IUT de Rouen","background-image:url(https://www.normandigital.fr/wp-content/uploads/pastille_IUTrouen_couleurs.png);","L’Institut Universitaire de Technologie de Rouen, un des premiers IUT de France, a été créé à titre expérimental en 1965 et par décret en 1966.
L’I.U.T de Rouen, institut interne à l’Université de Rouen au sens de l’article L713-9 du code de l’éducation, est une composante qui dispense en formation initiale et continue un enseignement supérieur destiné à préparer aux fonctions d’encadrement technique et professionnel dans les secteurs de la production, de la recherche appliquée et des services.
L’I.U.T. de Rouen a également pour vocation d’entreprendre et de développer des recherches et du transfert de technologie, de préférence en relation avec les spécialités enseignées, et dans le cadre général de la politique de l’Université.
L’IUT de Rouen est implanté sur trois sites : Mont Saint Aignan, Rouen Pasteur, Elbeuf sur Seine
Les formations sur le site de Mont Saint Aignan relèvent du secteur de la production, celles de Rouen relèvent du tertiaire et celles d’Elbeuf sur Seine relèvent des nouvelles technologies de l’information et de communication.
Les formations de l’IUT, destinées principalement à l’insertion professionnelle, préparent aux Diplômes Universitaires de Technologie DUT et aux Licences professionnelles.
Les DUT sont organisés sur quatre semestres avec des programmes pédagogiques à caractère national par spécialité. Des modules complémentaires permettent soit une insertion professionnelle immédiate, soit une poursuite en Licence professionnelle soit une poursuite d’étude longue.
L’équipe pédagogique est composée d’enseignants, d’enseignants- chercheurs et d’industriels.

		
	

	
		
			IUT DE ROUEN

Département Réseaux et Télécommunications

76500 ELBEUF-SUR-SEINE

Tel : 02.32.96.10.21
Site : http://iutrouen.univ-rouen.fr/
Grégory CHAUDEMANCHE

gregory.chaudemanche@univ-rouen.fr","null","http://iutrouen.univ-rouen.fr/","null","null"
"1641921912-203","https://www.normandigital.fr/membres-normandie-reseau-professionnels-numerique/","Web et Solutions                          EN SAVOIR PLUS","https://www.normandigital.fr/membres/web-et-solutions/","Web et Solutions","background-image:url(https://www.normandigital.fr/wp-content/uploads/logo_webetsolutions-bleu-orange-2016_300dpi_CMJN-1.jpg);","WEB ET SOLUTIONS PARTENAIRE DE VOS PROJETS DIGITAUX
Nos équipes Web et Solutions se mobilisent chaque jour pour vous accompagner vers des solutions digitales et ainsi faire du web une opportunité pour demain.

Avec plus de 15 ans d’expérience, Nous vous accompagnons dans toutes les facettes de votre activité en ligne. Que ce soit dans la création de votre site vitrine ou e-commerce, dans l’accompagnement stratégique, le référencement de votre site web, la création visuelle, le développement web, l’hébergement de vos données ou encore la formation, nos experts consacrent leur savoir-faire et leur passion au service de vos besoins et de votre marque.
UNE AGENCE DIGITALE EXPERTE ET SURTOUT HUMAINE
Chez Web et Solutions, c’est près de 50 experts qui sont là pour comprendre votre besoin et vous proposer les solutions les plus adaptées. Chaque projet étant unique, nous répondons aux besoins de chacun, selon le type de demande, en cohérence avec votre stratégie d’entreprise et votre secteur d’activité. Notre volonté est de faire de votre projet une expérience durable et rentable. C’est donc une véritable équipe multidisciplinaire dotée de connaissance technique, créative et stratégique qui est à votre service. Du graphisme, au référencement en passant par le développement, votre projet passe dans les mains de nos différents pôles d’expertises.
NOTRE SOLUTION E-COMMERCE ET OMNICANAL : OASIS COMMERCE
Les habitudes de consommation ont changé. Les clients consomment partout, à tout heure et il est aujourd’hui difficile de se contenter d’un seul canal de vente. OASIS Commerce, notre solution ecommerce omnicanal, vous permet de toucher vos clients où qu’ils soient. Simple d’accès, responsive, ergonomique avec une grande part d’autonomie, vous pilotez en quelques clics l’une des plateformes les plus puissantes du marché digital. Notre solution e-commerce vous propose une gestion complète de votre activité grâce à une richesse fonctionnelle répondant à vos besoins d’aujourd’hui et de demain :
• gestion de contenu (CMS) – créez vos pages simplement avec notre éditeur visuel

• gestion des contacts (CRM) – centraliser toutes les données de votre relation avec vos clients

• gestion de la chaîne d’achat- suivez vos achats fournisseurs, évitez la rupture de stock

• gestion du catalogue produits – accédez à votre catalogue incluant tous vos produits et choisissez les canaux de vente associés

• gestion des opérations marketing – orchestrez vos compagnes promotionnelles : codes promos, fidélité, conditions panier…

• gestion commerciale – suivez l’intégralité de votre activité commerciale : statistiques, devis, commandes, factures…

• gestion des entrepôts – optimisation de votre réception à votre préparation de commande)

• gestion des canaux de vente (gérez l’ensemble de vos ventes online et offline

		
	

	
		
			WEB ET SOLUTIONS

Technopôle du Madrillet, 705 avenue Isaac Newton

76800 Saint Etienne du Rouvray

Tel : 02 35 78 11 90

Site : www.webetsolutions.com
François GARNIER

Email : f.garnier@webetsolutions.com","null","http://www.webetsolutions.com","null","null"
"1641921959-222","https://www.normandigital.fr/membres-normandie-reseau-professionnels-numerique/","Monconsultantinfo                          EN SAVOIR PLUS","https://www.normandigital.fr/membres/mci/","Monconsultantinfo","background-image:url(https://www.normandigital.fr/wp-content/uploads/MCI-logo-v4-N.png);","MonConsultantInfo est une entreprise d’assistance à maîtrise d’ouvrage qui vous aide à réaliser vos projets informatiques grâce à une méthodologie éprouvée.
Notre objectif : Prioriser les besoins de nos partenaires et leur proposer les solutions les plus adaptées, avec un haut niveau de personnalisation.
Pour ceci, nous utilisons un cahier des charges très précis, qui servira de périmètre et de structure au projet.
Notre méthode : Tout d’abord, nous auditons votre matériel existant à l’aide d’outils spécialisés, puis nous lançons un appel d’offre, afin de garantir notre indépendance et de toujours vous proposer les meilleures solutions.
Nos engagements : Devenir la passerelle entre vous et le prestataire, afin de simplifier les demandes et les communications et de vous aider à vous comprendre et…  Rendre le jargon technologique accessible et compréhensible à tous, afin que vous soyez capables de faire évoluer votre nouvelle solution par vous-mêmes et que vous puissiez vous l’approprier complètement.
C’est le coeur et l’essence de notre métier et de notre expertise !
Et les + MCI : formation de vos équipes, hébergement de vos données en France, conformité RGPD & intégration office 365 et accès aux données garanti à 99.99%.

		
	

	
		
			MonConsultantInfo

31 Rue Eustache de la Quérière
76100 ROUEN

Tel : 06 22 31 38 82
Site : https://monconsultantinfo.fr/
Richard CARDINE

richard@monconsultantinfo.fr","null","https://monconsultantinfo.fr/","null","null"
"1641921998-235","https://www.normandigital.fr/membres-normandie-reseau-professionnels-numerique/","Evidence Info                          EN SAVOIR PLUS","https://www.normandigital.fr/membres/evidence-info/","Evidence Info","background-image:url(https://www.normandigital.fr/wp-content/uploads/logo-evidence-info.png);","Des experts à votre service

Un regard nouveau sur votre informatique
Modélisation 3D
Le scanner laser 3D est la solution à tous vos besoins de relevés métriques.

Pour un résultat 2D ou 3D, bénéficiez de la numérisation rapide et précise d’objets et de bâtiments (intérieur et extérieur) y compris sur des zones difficiles d’accès.
Rapide et économique
Nos experts et leurs scanners 3D permettent d’obtenir un résultat impeccable même dans des environnements difficiles ou peu accessibles dans un temps record.
Conseils et formations
Spécialistes des systèmes informatiques depuis de nombreuses années, nous sommes aussi formateurs agréés. Nous saurons trouver VOTRE solution.

		
	

	
		
			EVIDENCE INFO

45, Avenue Robert Hooke

76800 Saint Etienne du Rouvray

Tel : 02 78 94 03 64

Site : www.evidence-info.fr
Jean-Bernard LEPRINCE

Email : jbleprince@evidence-info.fr","null","http://www.evidence-info.fr","null","null"
"1641921949-218","https://www.normandigital.fr/membres-normandie-reseau-professionnels-numerique/","NOVEA                          EN SAVOIR PLUS","https://www.normandigital.fr/membres/novea/","NOVEA","background-image:url(https://www.normandigital.fr/wp-content/uploads/2018_LOGO_novea_BLANC_VERT_FD_AVEC_BS_BD-1.jpg);","NOVEA, Centre de formation aux métiers de la Fibre optique
Acteur dans le projet Innovance
Le déploiement du réseau fibre optique, un enjeu national :
Le déploiement du réseau fibre optique en France repose sur un grand plan d’investissement qui sera porté par l’Etat, les collectivités territoriales et les opérateurs privés. Les investissements nécessaires pour couvrir 95% du territoire national en réseau fibre optique sont aujourd’hui estimés à près de 35 milliards d’euros entre 2014 et 2037.
Le poids de l’expérience NOVEA :  
Riche d’un capital d’expérience de 10 années, le Pôle d’Excellence Rurale NOVEA, installé à Romagny, est le socle du développement du projet INNOVANCE.
Fondé en 2006, sous la forme d’une initiative mêlant acteurs privés et acteurs publics du Sud Manche, NOVEA a rapidement attiré l’attention de collectivités plus lointaines et d’entreprises d’envergure nationale issues de la filière des Télécommunications. L’ensemble de ces acteurs se retrouve sous l’idée suivante : l’accélération du développement économique et social passerait par le déploiement du réseau Internet Très Haut Débit (FTTH – Fiber To The Home).

		
	

	
		
			NOVEA Organisme de formation

ZA Teractive – Les Closeaux

50140 ROMAGNY-FONTENAY

Tel : 02.33.79.51.48

Site : https://www.fibreoptiquenovea.com/
Jennifer SIMON

jennifer.simon@novea.asso.fr","null","null","null","null"
"1641921969-226","https://www.normandigital.fr/membres-normandie-reseau-professionnels-numerique/","LINKT                          EN SAVOIR PLUS","https://www.normandigital.fr/membres/linkt/","LINKT","background-image:url(https://www.normandigital.fr/wp-content/uploads/logo-link.png);","LINKT, fournisseur et opérateur de Solutions Télécoms Entreprises et Collectivités
LINKT est l’opérateur télécom du Groupe Altitude, totalement dédié aux PME, ETI, aux grands groupes et aux collectivités.
Expert des télécoms, Linkt est né de la volonté de construire et délivrer une offre associant une couverture nationale à une organisation de proximité.
L’objectif : une relation client et un service totalement nouveaux, digitaux humains et personnalisés.
Linkt propose des solutions d’accès internet très haut débit, d’interconnexion de site (VPN IP MPLS), téléphonie, cloud et sécurité
Nos valeurs nous guident auprès de nos clients et de nos collaborateurs : l’ouverture, l’agilité, la simplicité et la transparence.
#internet et sécurité #VPN #VPN ETHERNET #TRUNK SIP #TELEPHONIE HEBERGEE #CLOUD #MOBILE #4G #EXTRANET

		
	

	
		
			LINKT
13 Rue Jacques Monod
76130 Mont Saint Aignan
Site : https://www.linkt.fr/
Contact Caen : Karine Bazile
02-79-37-00-12
karine.bazile@linkt.fr

		
	

	
		
			LINKT
13 Rue Jacques Monod
76130 Mont Saint Aignan
Site : https://www.linkt.fr/
Contact Rouen : Charlène DELAPORTE
02-79-37-00-13
charlene.delaporte@linkt.fr

		
	

	
		
			LINKT
13 Rue Jacques Monod
76130 Mont Saint Aignan
Site : https://www.linkt.fr/
Responsable commercial : Karim SAFI
02-79-37-00-10
karim.safi@linkt.fr","null","https://www.linkt.fr/","null","null"
"1641921917-205","https://www.normandigital.fr/membres-normandie-reseau-professionnels-numerique/","TIBCO SERVICES                          EN SAVOIR PLUS","https://www.normandigital.fr/membres/tibco-services/","TIBCO SERVICES","background-image:url(https://www.normandigital.fr/wp-content/uploads/TIBCO-LOGO.png);","Notre mission est de prendre soin des utilisateurs et des réseaux de communication
en respectant l’humain et la planète.


Proximité
Vous aider à bien vivre le numérique, c’est vous assurer un service de proximité réactif. En 24/24, 7/7, en 2H, 4H, à J+1, sur toute a France, nos tib’s interviennent sur les infrastructures réseaux et sur les outils numériques des utilisateurs

Centre de services
Dans nos centres de services, les Tib’s configurent vos équipements numériques, assistent vos utilisateurs sur des HelpDesk, surveillent et exploitent vos réseaux dans des centres d’administration et de cyberdéfense ISO27001, stockent et configurent les équipements dans des centres de logistiques, soutiennent vos compétences avec des équipes d’experts du numérique mutualisées et dédiées.
Transformations
Refondre un coeur de réseau, déployer Office 365 , 5000 ipads, des réseaux WDM ou des OLT
 

		
	

	
		
			TIBCO SERVICES
2 Avenue des Hauts grigneux
76420 BIHOREL LES ROUEN
Tel : 06.12.11.98.27
site :https://www.tibco.fr/
Nicolas MABILLE
Email : nmabille@tibco.fr","null","https://www.tibco.fr/","null","null"
"1641921951-219","https://www.normandigital.fr/membres-normandie-reseau-professionnels-numerique/","Normandie-Photo.com                          EN SAVOIR PLUS","https://www.normandigital.fr/membres/normandie-photo-com/","Normandie-Photo.com","background-image:url(https://www.normandigital.fr/wp-content/uploads/LOGO-NP-50-andre-roques-1.jpg);","Quand un métier est une passion, c’est une vocation !
André Roques est un photographe Rouennais aux multiples expériences et il s’intéresse à tout !

Après les années de reportage, la maîtrise de la technologie numérique m’a permis d’intégrer le studio de photographie publicitaire Image dirigé par François Dugué, qui m’a initié aux dernières tendances de la photo culinaire et du reportage industriel.
Aujourd’hui photographe indépendant, je réalise des commandes de portraits en entreprise et d’images publicitaires, des reportages événementiels et sportifs, des illustrations pour le web et l’édition.
En parallèle, j’anime depuis 2001 des modules de formation professionnalisants sur site en entreprise,  centres de formation et collectivités locales .


Formations à l’image numérique
Photographe et Formateur expérimenté, je mets en place depuis 2002 des modules d’initiation et de  perfectionnement adaptés à destination des entreprises, des particuliers et des centres de formation continue.

utilisation d’un APN comme outil professionnel
Gestion et mise en place de banques d’images
Initiation à la retouche numérique
Formation aux logiciels Adobe Photoshop et Lightroom
Solution pour l’équipement et la mise en place d’un studio de prises de vue


		
	

	
		
			NORMANDIE-PHOTO.COM

312 Le bois breton

76160 RONCHEROLLES SUR LE VIVIER
Site :https://normandie-photo.com/a-propos-dandre-roques/

André Roques

Tel : 06.85.58.34.90

andreroques@gmail.com","null","https://normandie-photo.com/a-propos-dandre-roques/","null","null"
"1641922005-238","https://www.normandigital.fr/membres-normandie-reseau-professionnels-numerique/","COAXYS                          EN SAVOIR PLUS","https://www.normandigital.fr/membres/coaxys/","COAXYS","background-image:url(https://www.normandigital.fr/wp-content/uploads/logo-coaxys.jpg);","Spécialisée dans le développement d’applications web, le responsive design, les plateformes natives, l’agence travaille en synergie avec les compétences transversales à son cœur de métier. Expertise et écoute, esprit d’équipe, transparence et partage, engagement et qualité sont les exigences de Coaxys.
Coaxys, ce sont 3 informaticiens expérimentés, passionnés aux parcours différents et à la fois très proches. Nicolas Saillard, Nicolas Giard et Sébastien Pannier se sont retrouvés dans leur envie d’écrire des “success stories”, à savoir la vôtre.
Quels que soient la taille et le domaine de votre projet, leur objectif est de conjuguer le savoir-faire d’une équipe experte avec votre connaissance « Métier », au profit de sa réussite.
Coaxys privilégie les 2 axes indispensables à ce succès :

le métier et les compétences du client vont définir la ligne directrice du projet.
l’expertise et les compétences informatiques suivront et concrétiseront cette ligne.


		
	

	
		
			COAXYS

2 Ter, Rue Georges Charpak

76130 Mont Saint Aignan

Tel : 02 32 91 25 46

Site : www.coaxys.com
Sébastien Pannier

Email : sebastien.pannier@coaxys.com","null","https://www.coaxys.com","null","null"
"1641921942-215","https://www.normandigital.fr/membres-normandie-reseau-professionnels-numerique/","NUMERILEX                          EN SAVOIR PLUS","https://www.normandigital.fr/membres/numerilex/","NUMERILEX","background-image:url(https://www.normandigital.fr/wp-content/uploads/logo-numerilex.jpg);","CABINET D’AVOCAT – DROIT DU NUMERIQUE ET DE LA PROPRIETE INTELLECTUELLE 
Philippe BAZIN 

Spécialiste en droit des nouvelles technologies, de l’informatique et de la communication
Avocat au Barreau de Rouen depuis 1980.
Après avoir exercé en qualité d’avocat associé au sein du cabinet Emo-Avocats http://www.emo-avocats.com    pendant 25 ans, j’exerce à titre individuel depuis le début de l’année 2016, mais désormais exclusivement dans le domaine du numérique et de la propriété intellectuelle.
Mes points forts sont notamment la rédaction de contrats adaptés au monde numérique, et le droit de l’internet.
Je suis très impliqué dans le tissu numérique normand :

Membre du Réseau Normandigital, antenne de Rouen (ce Club regroupe les professionnels du numérique et de la télécommunication sur la région de Rouen).
 Pendant de nombreuses années, j’ai animé au sein de l’association pour le Développement de l’Informatique Juridique  un atelier consacré à la dématérialisation et à la signature électronique (www.adij.fr)
De même, j’ai été agréé par le Conseil National des Barreaux pour former les avocats aux différents outils numériques de la profession : RPVA, OPALEXE (expertise judiciaire en ligne), acte d’avocat électronique, cloud privé des avocats etc…
Je suis très impliqué dans la mise en oeuvre du RGPD, pour laquelle je propose des actions de formation et de conseil.


		
	

	
		
			NUMERILEX

41 rue Raymond Aron

76130 Mont Saint Aignan

Tel : 02 35 59 83 63

Site : www.numerilex.fr
Philippe BAZIN

Email : philippe.bazin@numerilex.fr 

		
	

	
		
			NUMERILEX Cabinet de Rouen
Espace Now Coworking
53bis, Boulevard des Belges

76000 Rouen

Tel : 06.13.17.82.47","null","http://www.emo-avocats.com","null","null"
"1641921964-224","https://www.normandigital.fr/membres-normandie-reseau-professionnels-numerique/","MEDEF Seine Estuaire                          EN SAVOIR PLUS","https://www.normandigital.fr/membres/medef-seine-estuaire/","MEDEF Seine Estuaire","background-image:url(https://www.normandigital.fr/wp-content/uploads/logo-medef-SE.png);","LES MISSIONS DU MEDEF 
Représenter


Le rôle premier du MEDEF est de représenter et faire valoir les intérêts des entreprises. Il est votre « porte-voix ». Plus nous serons nombreux, plus notre voix portera et pèsera, auprès des pouvoirs publics, des collectivités territoriales, des organismes économiques et sociaux, des médias.

Ainsi le MEDEF assure et développe la promotion de l’esprit d’entreprise et l’esprit de réforme.

Au plan national et européen, le MEDEF agit au quotidien auprès du législateur (parlementaires, exécutif & cabinets ministériels) pour l’informer et l’aider à créer un environnement favorable au développement des entreprises. Ce rôle est réellement indispensable, et le Medef est la seule organisation patronale à même de le tenir.

Localement, le MEDEF est présent auprès des élus locaux et des administrations (Dreal, Direccte, …) ; il intervient, vous représente et défend vos intérêts collectifs comme individuels.

Un problème pour payer les charges de l’entreprise auprès de l’URSSAF ? Un litige avec un salarié qui va se terminer aux Prud’Hommes ? Un dossier qui a du mal à aboutir auprès d’un organisme de financement de la formation ? Un arrêt de travail ou un accident du travail mal pris en charge ? Une difficulté en matière d’environnement ? Une demande à appuyer auprès d’une municipalité ?… Le MEDEF peut vous accompagner et vous appuyer.

L’entreprise est aussi représentée au travers des mandataires MEDEF siégeant dans de nombreuses instances locales, départementales, régionales ou nationales. (Cf. page Mandats.)
Servir
Le MEDEF Seine Estuaire rend différents services aux entreprises :

Service juridique en droit social : CIDIS, animé par Anne Liset. Information, appui-conseil, formations
Information économique, notamment locale.
Appui au développement international
Aide à la levée de fonds (Medef Accélérateur d’Investissements)
Emploi – Formation
La GSC (assurance perte d’emploi des dirigeants)
Securex (Contrôle médical patronal des arrêts de travail).

Cf. page Services
Agir en réseau


Rencontre réseaux : Le Medef Seine Estuaire organise régulièrement des rencontres entre chefs d’entreprises, sous différentes formes, et en croisant bien souvent le réseau de ses adhérents avec d’autres réseaux (BNI, Réseau Entreprendre, St Thomas Basket, HAC, et bien d’autres).

Organisations d’événements par les MEDEF de Normandie : Université des Entrepreneurs Normands (UEN), Séminaire des mandataires, …

Implication dans divers dossiers : Le Medef apporte sa contribution pour aider à faire avancer différents dossiers, dont un certain nombre sont liés au développement économique de notre territoire havrais.

		
	

	
		
			MEDEF SEINE-ESTUAIRE

89 Rue Desramé

76620 LE HAVRE

Tel : 02.32.92.50.50
Site :https://medef-seine-estuaire.fr/fr/
Jean-Philippe ELIARD

jpeliard@madenrh.fr","null","https://medef-seine-estuaire.fr/fr/","null","null"
"1641921956-221","https://www.normandigital.fr/membres-normandie-reseau-professionnels-numerique/","MY consulting                          EN SAVOIR PLUS","https://www.normandigital.fr/membres/my-consulting/","MY consulting","background-image:url(https://www.normandigital.fr/wp-content/uploads/logo-myconsulting.jpg);","CONSULTANT IT INTERVENANT EN NORMANDIE ET SUR PARIS
Consultant expérimenté intervenant dans le cadre de ma propre entreprise, j’ai débuté ma carrière dans  l’informatique en 1987. Après deux premières expériences au sein de deux SSII majeures, j’ai évolué vers le monde de la Banque et de la Finance en rejoignant Rabobank International. Mon parcours au sein de cet établissement me permettra d’acquérir une compétence significative sur les métiers de la banque de détail et du financement et de développer une expertise forte sur l’ensemble de la dimension informatique de l’entreprise.
En qualité de Programme Manager, je présente de nombreuses références en matière de gestion du changement de l’environnement informatique au sein d’organisations de dimension internationale dans le secteur bancaire, incluant le déploiement de progiciel bancaire à l’échelle européenne. J’ai également acquis une expérience majeure dans la facilitation des opérations de transformation, dans l’amélioration des processus de l’entreprise, tout en garantissant la maîtrise les coûts. Ma grande connaissance des métiers de la banque me permet d’élaborer des solutions les plus adaptées aux besoins des clients de ce secteur.
Je suis également doté d’une solide expérience dans la gestion d’équipes internationales, multiculturelles et distribuées, en charge des études et des opérations informatiques au service de l’entreprise.

		
	

	
		
			MY CONSULTING

49, côte de Feuquerolles

27700 Les Andelys

Tél : 07.85.56.03.53
Yves Morvan

Email : ymorvan@myconsulting.fr","null","mailto:ymorvan@myconsulting.fr","null","null"
"1641921922-207","https://www.normandigital.fr/membres-normandie-reseau-professionnels-numerique/","STRATINNOV                          EN SAVOIR PLUS","https://www.normandigital.fr/membres/stratinnov/","STRATINNOV","background-image:url(https://www.normandigital.fr/wp-content/uploads/STRATINNOV-1.png);","STRATINNOV – ACCOMPAGNEMENT DES JEUNES ENTREPRISES INNOVANTES







STRATINNOV est un bureau d’études en innovation, partenaire du développement des petites et moyennes entreprises françaises, inscrites dans une dynamique de croissance par l’innovation.

STRATINNOV optimise l’organisation de votre innovation… de l’idée brute jusqu’à sa mise sur le marché !
Acteur Pro-actif de votre succès, nous vous aidons à actionner les leviers utiles et pertinents de chaque phase du process d’innovation pour orienter vos choix tactiques, favoriser la fertilité de vos terrains commerciaux…
Depuis 2010, les experts de STRATINNOV s’attachent à explorer avec ses clients des voies de solutions inédites, aussi performantes qu’inattendues !

Vision périphérique, savoir-faire transversaux et complémentaires, objectivité et intégrité sont les valeurs que nous cultivons pour développer les performances de votre culture de l’innovation et de l’entreprenariat …


		
	

	
		
			STRATINNOV

INNOVAPÔLE – 50 rue Ettore buggati

76800 SAINT ETIENNE DU ROUVRAY

Tel : 09.53.41.44.84
Site : https://www.stratinnov.com/
François LORET

Email :FRANCOIS.LORET@STRATINNOV.COM","null","https://www.stratinnov.com/","null","null"
"1641921946-217","https://www.normandigital.fr/membres-normandie-reseau-professionnels-numerique/","NOVELSTRA                          EN SAVOIR PLUS","https://www.normandigital.fr/membres/novelstra/","NOVELSTRA","background-image:url(https://www.normandigital.fr/wp-content/uploads/Logo-Novelstra.jpg);","Société de Conseil en développement, stratégie et organisation, NOVELSTRA accompagne les entrepreneurs dans les différentes phases de la vie de l’entreprise.
La mission de NOVELSTRA est d’aider les chefs d’entreprises à prendre du recul lors des différentes phases fondamentales de la vie de l’entreprise.

De la création ou reprise, aux différents axes de développement interne ou externe jusqu’à la cession de l’entreprise, la vision externe, objective et neutre de NOVELSTRA  vous permettra de vous confronter à une autre vision.
Nous sommes là pour vous accompagner d’un point de vue pratique dans la réalisation de vos projets en vous aidant à définir la stratégie, les plans d’actions jusqu’à la mise en œuvre au sein de votre entreprise (accompagnement au changement de vos équipes).
Les outils des grandes entreprises adaptés aux PME-PMI.
Découvrez VINCAE, l’outil développé par NOVELSTRA pour mesurer objectivement, valoriser et scorer les actifs immatériels. https://www.novelstra.fr/

		
	

	
		
			NOVELSTRA

120, boulevard Amiral Mouchez

76600 LE HAVRE

Site : https://www.novelstra.fr/
François Xavier GARCIA

Tel : 06 74 70 83 43

francoisgarcia@novelstra.fr","null","https://www.novelstra.fr/","null","null"
