web-scraper-order,web-scraper-start-url,orga-link,orga-link-href,name,adresse,creation,type,codepostal
"1641920400-199","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","Qwice - 894985399 / 00019","https://www.infogreffe.fr/entreprise-societe/894985399-qwice-140221B004010000.html","Qwice
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                9 PLACE DU DOCTEUR CAILLOUÉ 
                                                
                                                    
                                                        14700 FALAISE
                                                        
                                                            Voir le plan","Immatriculée le 11/03/2021.","Société par actions simplifiée","14700 FALAISE
                                                        
                                                            Voir le plan"
"1641920167-139","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","OMNIDESK - 824404024 / 00013","https://www.infogreffe.fr/entreprise-societe/824404024-omnidesk-140216B013350000.html","OMNIDESK
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                205 RUE DE BAYEUX 
                                                
                                                    
                                                        14000 CAEN
                                                        
                                                            Voir le plan","Immatriculée le 16/12/2016.","Société par actions simplifiée","14000 CAEN
                                                        
                                                            Voir le plan"
"1641919915-71","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","MYRIADE DIGITAL - 877650358 / 00014","https://www.infogreffe.fr/entreprise-societe/877650358-myriade-digital-140219B012810000.html","MYRIADE DIGITAL
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                22 T RUE DE TROARN 
                                                
                                                    
                                                        14850 ESCOVILLE
                                                        
                                                            Voir le plan","Immatriculée le 01/10/2019.","Société par actions simplifiée à associé unique","14850 ESCOVILLE
                                                        
                                                            Voir le plan"
"1641920251-160","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","SEBINFO.FR - 842206245 / 00016","https://www.infogreffe.fr/entreprise-societe/842206245-sebinfo-fr-140218B010560000.html","SEBINFO.FR
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                16A RUE DES ÉCOLES 
                                                
                                                    
                                                        14540 SOLIERS
                                                        
                                                            Voir le plan","Immatriculée le 11/09/2018.","Société à responsabilité limitée à associé unique","14540 SOLIERS
                                                        
                                                            Voir le plan"
"1641919964-85","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","VILLEDIEU COMMUNICATION SARL - 479917650 / 00018","https://www.infogreffe.fr/entreprise-societe/479917650-villedieu-communication-sarl-140204B502320000.html","VILLEDIEU COMMUNICATION SARL
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                28 CHEMIN DE LA PASSARDIERE LE RECULEY
                                                
                                                    
                                                        14350 SOULEUVRE EN BOCAGE
                                                        
                                                            Voir le plan","Immatriculée le 22/12/2004.","Société à responsabilité limitée","14350 SOULEUVRE EN BOCAGE
                                                        
                                                            Voir le plan"
"1641920076-115","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","A2VD PROD - 827496365 / 00012","https://www.infogreffe.fr/entreprise-societe/827496365-a2vd-prod-140217B001860000.html","A2VD PROD
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                8 RUE ALFRED KASTLER 
                                                
                                                    
                                                        14000 CAEN
                                                        
                                                            Voir le plan","Immatriculée le 07/02/2017.","Société à responsabilité limitée","14000 CAEN
                                                        
                                                            Voir le plan"
"1641920045-107","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","Cambos Consulting - 432515013 / 00048","https://www.infogreffe.fr/entreprise-societe/432515013-cambos-consulting-140719B000680000.html","Cambos Consulting
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                8 RUE DU DOCTEUR MAXIME PELLERIN 
                                                
                                                    
                                                        14290 ORBEC
                                                        
                                                            Voir le plan","Immatriculée le 08/02/2019.","Société à responsabilité limitée","14290 ORBEC
                                                        
                                                            Voir le plan"
"1641920339-184","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","BEUTCH SAS - 839873759 / 00014","https://www.infogreffe.fr/entreprise-societe/839873759-beutch-sas-140218B006400000.html","BEUTCH SAS
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                49 RUE DE BRAS 
                                                
                                                    
                                                        14000 CAEN
                                                        
                                                            Voir le plan","Immatriculée le 04/06/2018.","Société par actions simplifiée","14000 CAEN
                                                        
                                                            Voir le plan"
"1641920404-200","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","NORM3D - 890786817 / 00019","https://www.infogreffe.fr/entreprise-societe/890786817-norm3d-140220B014860000.html","NORM3D
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                2 RUE JEAN PERRIN 
                                                
                                                    
                                                        14460 COLOMBELLES
                                                        
                                                            Voir le plan","Immatriculée le 13/11/2020.","Société par actions simplifiée","14460 COLOMBELLES
                                                        
                                                            Voir le plan"
"1641919947-80","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","ORDI SERV - 890795032 / 00014","https://www.infogreffe.fr/entreprise-societe/890795032-ordi-serv-140220B014620000.html","ORDI SERV
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                2 RUE DE L'HÔTELLERIE 
                                                
                                                    
                                                        14120 MONDEVILLE
                                                        
                                                            Voir le plan","Immatriculée le 09/11/2020.","Société à responsabilité limitée à associé unique","14120 MONDEVILLE
                                                        
                                                            Voir le plan"
"1641919841-51","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","VinoVirtual - 893247452 / 00012","https://www.infogreffe.fr/entreprise-societe/893247452-vinovirtual-140221B001180000.html","VinoVirtual
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                17 RUE CLAUDE BLOCH 
                                                
                                                    
                                                        14000 CAEN
                                                        
                                                            Voir le plan","Immatriculée le 22/01/2021.","Société par actions simplifiée","14000 CAEN
                                                        
                                                            Voir le plan"
"1641920133-130","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","TON ALTERNANCE - 908707821 / 00017","https://www.infogreffe.fr/entreprise-societe/908707821-ton-alternance-140221B020990000.html","TON ALTERNANCE
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                4 AVENUE DE CAMBRIDGE 
                                                
                                                    
                                                        14200 HÉROUVILLE-SAINT-CLAIR
                                                        
                                                            Voir le plan","Immatriculée le 31/12/2021.","Société par actions simplifiée","14200 HÉROUVILLE-SAINT-CLAIR
                                                        
                                                            Voir le plan"
"1641919979-89","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","Culture et Marguerites - 522287861 / 00028","https://www.infogreffe.fr/entreprise-societe/522287861-culture-et-marguerites-140210B007530000.html","Culture et Marguerites
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                LA LOUVIÈRE LOUVIÈRES
                                                
                                                    
                                                        14710 FORMIGNY LA BATAILLE
                                                        
                                                            Voir le plan","Immatriculée le 23/07/2010.","Société par actions simplifiée à associé unique","14710 FORMIGNY LA BATAILLE
                                                        
                                                            Voir le plan"
"1641920225-153","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","CHROMA.TEAM - 848014460 / 00028","https://www.infogreffe.fr/entreprise-societe/848014460-chroma-team-140219B001620000.html","CHROMA.TEAM
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                23 AVENUE JEAN JAURÈS 
                                                
                                                    
                                                        14120 MONDEVILLE
                                                        
                                                            Voir le plan","Immatriculée le 05/02/2019.","Société par actions simplifiée","14120 MONDEVILLE
                                                        
                                                            Voir le plan"
"1641920035-104","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","APOSIO - 849369038 / 00013","https://www.infogreffe.fr/entreprise-societe/849369038-aposio-140219B004160000.html","APOSIO
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                17 RUE CLAUDE BLOCH NORMANDIE INCUBATION
                                                
                                                    
                                                        14000 CAEN
                                                        
                                                            Voir le plan","Immatriculée le 22/03/2019.","Société par actions simplifiée","14000 CAEN
                                                        
                                                            Voir le plan"
"1641920098-121","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","ISK COMMUNICATION - 488813452 / 00031","https://www.infogreffe.fr/entreprise-societe/488813452-isk-communication-140206B001640000.html","ISK COMMUNICATION
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                9 RUE DES CANADIENS 
                                                
                                                    
                                                        14540 SOLIERS
                                                        
                                                            Voir le plan","Immatriculée le 02/03/2006.","Société à responsabilité limitée à associé unique","14540 SOLIERS
                                                        
                                                            Voir le plan"
