web-scraper-order,web-scraper-start-url,title,iogo-src,link,resume
"1641968953-24","https://www.frenchtechcaen.com/fr/annuaire-des-startups/","EYYE","userfiles/contact/contact_85/photos/eyye.png?width=180","https://www.eyye.fr/","Nous concevons des applications mobiles sur un modèle technique innovant et accessible qui propose des fonctionnalités astucieuses et une interface d’administration intuitive. Vous créez votre application évolutive pour un coût très «budget friendly» !"
"1641968953-51","https://www.frenchtechcaen.com/fr/annuaire-des-startups/","STARNAV","userfiles/contact/contact_103/photos/05Y7FqCG_400x400.jpg?width=180","https://www.starnav.fr/site/fr/home/","STARNAV est le spécialiste de l’extraction de données géométriques à partir d’images. Nos savoir-faire apportent des solutions algorithmiques originales, précises, rapides, adaptées à vos besoins spécifiques et produisent des résultats de très haute performance."
"1641968953-26","https://www.frenchtechcaen.com/fr/annuaire-des-startups/","Ganapati","userfiles/contact/contact_172/photos/ganapati__1_.png?width=180","https://ganapati.fr/","Ganapati est un organisme de formation national basé en Normandie et référencé au datadock. Son objectif est de mettre en relation les entreprises et les formateurs indépendants dans tous les domaines confondus grâce à une plateforme digitale disponible partout."
"1641968953-41","https://www.frenchtechcaen.com/fr/annuaire-des-startups/","OP2LYSIS","userfiles/contact/contact_119/photos/op2lysis.png?width=180","http://www.op2lysis.com/","Une startup en Biotechnologie qui développe le premier traitement médicamenteux de l’accident vasculaire cérébral (AVC) hémorragique, la forme d’AVC la plus sévère."
"1641968953-57","https://www.frenchtechcaen.com/fr/annuaire-des-startups/","URBEST","userfiles/contact/contact_121/photos/0__2_.png?width=180","https://www.urbest.io/","Urbest améliore votre relation avec votre bâtiment en apportant communication, transparence et efficacité aux occupants, propriétaires et prestataires."
"1641968953-52","https://www.frenchtechcaen.com/fr/annuaire-des-startups/","STORIGIN","userfiles/contact/contact_104/photos/t__l__chargement.png?width=180","https://www.storigin.fr/","STORIGIN est un jeu de rôle féérique et familial à visée pédagogique sur tablette tactile, contrôlé à l’aide d’une véritable baguette magique !"
"1641968953-49","https://www.frenchtechcaen.com/fr/annuaire-des-startups/","SINAY","userfiles/contact/contact_100/photos/0.jpg?width=180","https://www.sinay.fr/","SINAY répond aux besoins de ses clients en offrant des prestations de services dans le domaine des études d’impact environnemental, de l’acoustique sous-marine, de l’halieutique, de la géophysique et de la géotechnique"
"1641968953-21","https://www.frenchtechcaen.com/fr/annuaire-des-startups/","EP Digital","userfiles/contact/contact_188/photos/EP_Digital.jpg?width=180","https://epdigital.fr/","EP Digital est une agence web spécialisée dans la création de site web vitrine et e-commerce sur mesure, audit de site, référencement (SEO), stratégie de communication et stratégie digitale."
"1641968953-46","https://www.frenchtechcaen.com/fr/annuaire-des-startups/","ROBORATIVE","userfiles/contact/contact_98/photos/5b8bb2b93b017558267127.jpg?width=180","https://roborative.com/","La proposition de valeur de ROBORATIVE : Vous accompagner dans vos projets de robotisation et mettre en pratique le potentiel de la robotique collaborative."
"1641968953-15","https://www.frenchtechcaen.com/fr/annuaire-des-startups/","DEALER DE COQUE","userfiles/contact/contact_82/photos/t__l__chargement.jpg?width=180","https://www.dealerdecoque.fr/","Startup spécialisée dans la fabrication de coques de téléphones portables personnalisables made in France."
"1641968953-47","https://www.frenchtechcaen.com/fr/annuaire-des-startups/","SANIPASS SOLUTIONS","userfiles/contact/contact_207/photos/SANIPASSSOLUTIONSLOGOWEB.png?width=180","https://www.sanipass-solutions.fr/","Solution innovante pour faciliter la vérification des PASS Sanitaires"
"1641968953-13","https://www.frenchtechcaen.com/fr/annuaire-des-startups/","DANS MA CULOTTE","userfiles/contact/contact_117/photos/dmc9.jpg?width=180","https://dansmaculotte.com/fr/","Dans Ma Culotte révolutionne la vie intime des femmes avec des produits chics et sains."
"1641968953-7","https://www.frenchtechcaen.com/fr/annuaire-des-startups/","BITCOIN AVENUE","userfiles/contact/contact_78/photos/rCZTAI72_400x400.jpg?width=180","https://www.bitcoin-avenue.com/","Bitcoin Avenue, une agnce pour vous informer, accompagner vos transactions et vous offrir un accès simple et sécurisé aux principaux crypto-actifs disponibles sur le marché."
"1641968953-31","https://www.frenchtechcaen.com/fr/annuaire-des-startups/","LILY LEARN","userfiles/contact/contact_125/photos/Lily_learn.png?width=180","https://lilylearn.com/","Une gamme de jeux qui allie l'authenticité des jouets traditionnels aux nouvelles technologies sans écran pour une expérience unique d'apprentissage."
"1641968953-45","https://www.frenchtechcaen.com/fr/annuaire-des-startups/","Sharebooks","userfiles/contact/contact_227/photos/sharebooksLogo_bleu.png?width=180","null","Sharebooks est une plateforme d'achat vente et location de livres en ligne.
Accessible à tous, une multitude d'ouvrages disponibles près de chez vous, auprès de particuliers ou de nos libraires partenaires.

En complément, Sharebooks propose aux établissements d'enseignements supérieur de bénéficier d'un centre de ressources digitalisé avec la mise à disposition des ouvrages en moins de 24h pour leurs étudiants. 

Sharebooks permet de dynamiser et d'encourager les échanges entre étudiants ainsi que les étudiants et les formateurs afin de créer une véritable communauté de lecteurs."
"1641968953-48","https://www.frenchtechcaen.com/fr/annuaire-des-startups/","SEAVERHORSE","userfiles/contact/contact_99/photos/Seaver-horse-logo.jpg?width=180","https://seaverhorse.com/","Seaver Horse est une société française au sein de laquelle des ingénieurs et des développeurs, passionnés par les sports équestres, mettent leurs compétences et leurs énergies pour améliorer la qualité de la relation Homme / Cheval."
"1641968953-18","https://www.frenchtechcaen.com/fr/annuaire-des-startups/","DIGITAL INSURE","userfiles/contact/contact_149/photos/Digital_insure.png?width=180","https://www.digital-insure.fr/","Digital Insure consolide les activités des sociétés Digital Insure Services, Digital Insure Distribution et BPSIs. Orientées services et distribution, les sociétés du groupe apportent en BtoB des solutions innovantes aux acteurs du marché qui cherchent à se développer sur l’assurance emprunteur et sur la prévoyance individuelle."
"1641968953-62","https://www.frenchtechcaen.com/fr/annuaire-des-startups/","YOUSIGN","userfiles/contact/contact_112/photos/nVrPVeG4.jpg?width=180","https://yousign.com/fr-fr","Yousign, des solutions de signature électronique légales et simples d'usage pour tous vos documents. Faire signer vos contrats n'a jamais été aussi simple."
"1641968953-55","https://www.frenchtechcaen.com/fr/annuaire-des-startups/","TWELVE SOLUTIONS","userfiles/contact/contact_107/photos/t__l__chargement__5_.jpg?width=180","https://twelve.solutions/","Créateurs d'Expériences Marquantes pour des Lieux Captivants - Nous sommes spécialisés dans la création d'outil et de contenus numériques ainsi que d'applications de visite pour les sites culturels.  Nos produits La D-Day Box et le Wivi permettent aujourd'hui à des milliers de visiteurs de profité chaque jour de contenus adaptés à leur besoins !"
"1641968953-6","https://www.frenchtechcaen.com/fr/annuaire-des-startups/","APOSIO","userfiles/contact/contact_198/photos/logo_vertical_couleur_APOSIO.png?width=180","https://aposio.com/","Aposio développe une solution innovante dans le domaine du field service management. Spécialiste de la gestion des interventions sur site, Aposio accompagne les artisans dans l'automatisation et la simplification de leurs processus métiers. Aposio optimise l'ensemble des étapes de l'intervention : de la prise de contact jusqu'au paiement."
"1641968953-35","https://www.frenchtechcaen.com/fr/annuaire-des-startups/","MIWEO","userfiles/contact/contact_91/photos/logo400px.png?width=180","http://www.miweo.com/","Développement et mise en place de système d'information sur mesure. Simple à utiliser, Miweo est la solution pour les entreprises, collectivités, associations... pour optimiser la gestion et l'analyse de l'activité."
"1641968953-40","https://www.frenchtechcaen.com/fr/annuaire-des-startups/","OB'DO","userfiles/contact/contact_96/photos/t__l__chargement__1_.jpg?width=180","https://www.ob-do.com/","INGÉNIERIE EN DÉVELOPPEMENT D’OBJETS CONNECTÉS"
"1641968953-3","https://www.frenchtechcaen.com/fr/annuaire-des-startups/","3D&G","userfiles/contact/contact_148/photos/3D_G.png?width=180","https://www.3d-g.fr/","null"
"1641968953-23","https://www.frenchtechcaen.com/fr/annuaire-des-startups/","ESCUDIER Antoine","userfiles/contact/contact_221/photos/logo_vetapp.png?width=180","null","Vetapp est une plateforme de télémédecine vétérinaire permettant d'améliorer le suivi de santé de l'animal tout en facilitant le quotidien des praticiens."
"1641968953-4","https://www.frenchtechcaen.com/fr/annuaire-des-startups/","7MEDICAL","userfiles/contact/contact_76/photos/BGzvgVC-_400x400.png?width=180","http://www.7medical.fr/","Mobilité & Interopérabilité des systèmes de santé."
"1641968953-33","https://www.frenchtechcaen.com/fr/annuaire-des-startups/","LINKIN FARM","userfiles/contact/contact_88/photos/images__1_.png?width=180","https://www.linkin.farm/","Plateforme de mise en relation entre agriculteurs et prestataires de travaux agricoles."
"1641968953-38","https://www.frenchtechcaen.com/fr/annuaire-des-startups/","MORDICUS STUDIO","userfiles/contact/contact_94/photos/2017-11-08-16_03_04-MORDICUS-STUDIO-___-Aux-portes-du-r__el-300x101.png?width=180","https://www.mordicus.studio/","MORDICUS STUDIO est une agence de design expérientiel spécialisée dans la construction de mondes virtuels à forte valeur ajoutée."
